Date,index_level
04/09/2020,97.07
07/09/2020,96.85
08/09/2020,95.95
09/09/2020,96.08
10/09/2020,96.18
11/09/2020,96.43
14/09/2020,96.47
15/09/2020,96.29
16/09/2020,96.86
17/09/2020,96.79
18/09/2020,97.03
21/09/2020,97.45
22/09/2020,96.53
23/09/2020,95.76
24/09/2020,95.73
25/09/2020,95.78
28/09/2020,95.68
29/09/2020,95.52
30/09/2020,95.95
01/10/2020,97.05
02/10/2020,96.82
05/10/2020,96.68
06/10/2020,96.1
07/10/2020,96.46
08/10/2020,97.23
09/10/2020,97.29
12/10/2020,97.37
13/10/2020,97.16
14/10/2020,97.44
15/10/2020,97.55
16/10/2020,97.32
19/10/2020,97.71
20/10/2020,96.8
21/10/2020,97.14
22/10/2020,96.99
23/10/2020,97.44
26/10/2020,96.62
27/10/2020,96.35
28/10/2020,95.97
29/10/2020,95.73
30/10/2020,95.69
02/11/2020,96.31
03/11/2020,96.25
04/11/2020,96.04
05/11/2020,95.76
06/11/2020,95.35
09/11/2020,94.64
10/11/2020,95.04
11/11/2020,94.22
12/11/2020,93.72
13/11/2020,93.83
16/11/2020,93.38
17/11/2020,93.07
18/11/2020,92.55
19/11/2020,92.46
20/11/2020,92.91
23/11/2020,93.46
24/11/2020,93.77
25/11/2020,94.16
26/11/2020,94.33
27/11/2020,94.38
30/11/2020,93.73
01/12/2020,94.2
02/12/2020,93.78
03/12/2020,93.79
04/12/2020,93.56
07/12/2020,93.76
08/12/2020,93.85
09/12/2020,93.87
10/12/2020,93.69
11/12/2020,93.93
14/12/2020,94.26
15/12/2020,94.84
16/12/2020,94.75
17/12/2020,94.66
18/12/2020,94.37
21/12/2020,94.6
22/12/2020,94.7
23/12/2020,94.02
24/12/2020,94.28
25/12/2020,94.49
28/12/2020,94.25
29/12/2020,93.5
30/12/2020,93.86
31/12/2020,94.02
